X;Y;Z
8.38943408289043E-04;-3.91033936483609E-06;3.64820564615366E-03
2.94490181577055E-03;-1.3399900054992E-05;6.76217051487765E-03
5.7320073160889E-03;-2.52786855559748E-05;9.29750890187279E-03
8.87810921960116E-03;-3.77805079626228E-05;1.13760385001515E-02
1.21919146840022E-02;-5.06405075763041E-05;1.31801886546309E-02
1.54850087695495E-02;-6.56857102853792E-05;1.50220370097522E-02
0.01874284523229;-8.32599656933439E-05;1.69255322427343E-02
2.19642921129037E-02;-1.03545599884967E-04;1.88899587430787E-02
2.51482207337837E-02;-1.26726255803874E-04;2.09145984723873E-02
2.82934953919912E-02;-1.5298672596947E-04;2.29987446180021E-02
3.13989802458731E-02;-1.82512495586423E-04;2.51416878035379E-02
3.44635653905346E-02;-2.15488813630486E-04;2.73426776412671E-02
3.74861796732509E-02;-2.52099856611721E-04;2.96009063673991E-02
4.04657556796255E-02;-2.92529063341703E-04;0.031915564433526
4.34012382964259E-02;-3.36958518851645E-04;3.42858253818558E-02
4.62915882415691E-02;-3.85568471626755E-04;0.036710842427492
4.91357822486845E-02;-4.38536915995257E-04;3.91897489971307E-02
5.19328132694041E-02;-4.96039182375625E-04;4.17216592071927E-02
5.46816906952138E-02;-5.58247535912983E-04;4.43056682905299E-02
5.73814405997602E-02;-6.25330784033963E-04;4.69408529804641E-02
6.00311060016507E-02;-6.9745389345303E-04;4.96262718603975E-02
6.26297471469856E-02;-7.74777617169491E-04;5.23609656867629E-02
6.51764418101471E-02;-8.5745813199901E-04;5.51439576928242E-02
6.76702856107248E-02;-9.45646687184819E-04;5.79742538796563E-02
7.01103923438946E-02;-1.03948926463619E-03;6.08508433005627E-02
7.24955696701364E-02;-1.1391121276904E-03;6.37722929793235E-02
7.48255625866242E-02;-1.2446741960681E-03;6.67382816480531E-02
7.70992674730877E-02;-1.35629265164141E-03;6.97474188010819E-02
7.93158745885717E-02;-1.47408916384859E-03;7.27986277000018E-02
8.14745942304297E-02;-1.59817862755455E-03;7.58908162539301E-02
8.35748588143847E-02;-1.72866329840042E-03;0.079022744980015
8.56503098782812E-02;-1.86466624452191E-03;0.082171033185281
8.77258931309994E-02;-2.00547466827891E-03;8.53190701532731E-02
8.98016050763307E-02;-2.15105364984765E-03;8.84668448669254E-02
9.18774422639759E-02;-0.002301368612185;9.16143465191417E-02
9.39534012892269E-02;-2.45638531708181E-03;9.47615645085752E-02
9.60291382312478E-02;-2.61604328626794E-03;9.79079722507449E-02
9.81052393243896E-02;-2.78007134638551E-03;0.101054468064278
0.100181466578915;-2.94507464088332E-03;0.104200863693928
0.102257824198189;-3.11007793538113E-03;0.10734721625864
0.104334312181342;-3.27508122987894E-03;0.110493525754398
0.106410930527435;-3.44008452437676E-03;0.113639792177099
0.108487397040079;-3.60506539838178E-03;0.116785588019789
0.110564160736809;-3.77005952848412E-03;0.119931593550355
0.112641035060376;-3.93505209210784E-03;0.123077526132489
0.114718020006307;-4.10004308926319E-03;0.126223385763587
0.116795115570129;-4.26503251996041E-03;0.129369172441002
0.118872321747414;-4.43002038420973E-03;0.132514886162113
0.120949638533579;-4.59500668202141E-03;0.135660526924301
0.123027065924218;-4.75999141340568E-03;0.138806094724932
0.125104603914814;-4.92497457837279E-03;0.141951589561388
0.127182252500939;-0.005089956176933;0.145097011431033
0.129260011678097;-5.25493620909656E-03;0.148242360331264
0.131337881441795;-5.41991467487373E-03;0.151387636259416
0.133415861787582;-5.58489157427477E-03;0.154532839212916
0.135493952710941;-5.74986690730992E-03;0.157677969189099
0.1375721542074;-5.91484067398948E-03;0.160823026185361
0.13965046627253;-6.07981287432369E-03;0.163968010199067
0.141728888901837;-6.24478350832282E-03;0.167112921227599
0.143807422090826;-6.40975257599716E-03;0.170257759268337
0.145886065835025;-6.57472007735697E-03;0.173402524318633
0.147964820129961;-6.73968601241253E-03;0.176547216375911
0.15004368497114;-6.90465038117411E-03;0.179691835437523
0.152122660354111;-7.06961318365201E-03;0.182836381500834
0.15420174627438;-7.23457441985651E-03;0.18598085456324
0.156280942727497;-7.39953408979788E-03;0.189125254622122
0.158360249708966;-7.56449219348643E-03;0.192269581674846
0.160439667214294;-7.72944873093245E-03;0.195413835718806
0.162519195239007;-7.89440370214621E-03;0.198558016751354
0.164598833778678;-8.05935710713804E-03;0.201702124769901
0.166678582828769;-8.22430894591822E-03;0.204846159771812
0.168758442384828;-8.38925921849707E-03;0.207990121754468
0.170838412442427;-8.55420792488487E-03;0.21113401071525
0.172918492996984;-8.71915506509194E-03;0.214277826651538
0.174998684044137;-8.88410063912859E-03;0.217421569560713
0.177078985579348;-9.04904464700514E-03;0.220565239440155
0.179159397598098;-9.21398708873189E-03;0.22370883628726
0.181239920096005;-9.37892796431916E-03;0.226852360099379
0.18332055306853;-9.54386727377729E-03;0.229995810873908
0.185401296511245;-9.70880501711657E-03;0.233139188608242
0.18748215041961;-9.87374119434735E-03;0.236282493299761
0.189563114789222;-0.01003867580548;0.239425724945831
0.191644189615539;-1.02036088505247E-02;0.242568883543863
0.193725374894113;-1.03685403294919E-02;0.245711969091208
0.195806670620493;-0.010533470242392;0.248854981585275
0.19788807679014;-1.06983985892352E-02;0.251997921023416
0.199969593398648;-1.08633253700319E-02;0.255140787403056
0.202051220441502;-1.10282505847924E-02;0.25828358072156
0.204132957914229;-1.11931742335272E-02;0.261426300976309
0.206214805812378;-1.13580963162464E-02;0.264568948164684
0.208296764131455;-1.15230168329606E-02;0.267711522284095
0.210378832866988;-0.01168793578368;0.270854023331907
0.212461012014483;-1.18528531684149E-02;0.273996451305517
0.214543301569467;-1.20177689871759E-02;0.277138806202289
0.216625701527513;-1.21826832399731E-02;0.280281088019634
0.218708211884059;-0.012347595926817;0.283423296754932
0.220790832634722;-1.25125070477179E-02;0.286565432405565
0.222873563774986;-1.26774166026863E-02;0.289707494968912
0.224956405300356;-1.28423245917324E-02;0.292849484442384
0.227039357206382;-1.30072310148667E-02;0.295991400823346
0.229122419488592;-1.31721358720995E-02;0.299133244109195
0.231205592142492;-1.33370391634413E-02;0.302275014297338
0.233288875163631;-1.35019408889023E-02;0.305416711385129
0.235372268547472;-1.36668410484929E-02;0.308558335369977
0.237455772289652;-1.38317396422237E-02;0.311699886249276
0.239539386385589;-1.39966366701048E-02;0.314841364020409
0.241623110830855;-1.41615321321469E-02;0.317982768680755
0.243706945621;-1.43264260283601E-02;0.321124100227724
0.245790890751485;-0.014491318358755;0.324265358658682
0.247874946217883;-1.46562091233419E-02;0.327406543971039
0.249959112015721;-1.48210983221312E-02;0.330547656162191
0.252043388140484;-1.49859859551334E-02;0.333688695229503
0.254127774587765;-1.51508720223588E-02;0.33682966117037
0.256212271353004;-1.53157565238178E-02;0.339970553982217
0.258296878431774;-1.54806394595209E-02;0.343111373662425
0.260381595819623;-1.56455208294784E-02;0.346252120208344
0.262466423512014;-1.58104006337009E-02;0.349392793617415
0.264551361504519;-1.59752788721986E-02;0.352533393887003
0.266636409792666;-1.61401555449821E-02;0.355673921014517
0.268721568371961;-1.63050306520618E-02;0.358814374997353
0.270806837237954;-0.016469904193448;0.361954755832892
0.272892216386128;-1.66347761691512E-02;0.365095063518529
0.274977705812034;-1.67996465791819E-02;0.368235298051659
0.2770633055112;-1.69645154235504E-02;0.371375459429692
0.279149015479153;-1.71293827022672E-02;0.374515547649993
0.281234835711423;-1.72942484153428E-02;0.377655562709988
0.283320766203514;-1.74591125627876E-02;0.380795504607042
0.285406806950977;-0.017623975144612;0.383935373338565
0.287492957949296;-1.77888361608265E-02;0.387075168901967
0.289579219194043;-1.79536956114415E-02;0.390214891294629
0.291665590680746;-1.81185534964675E-02;0.393354540513959
0.293752072404888;-0.018283409815915;0.396494116557325
0.295838664362044;-1.84482645697943E-02;0.399633619422137
0.297925366547739;-0.018613117758116;0.402773049105817
0.300012178957437;-1.87779693808905E-02;0.405912405605733
0.302099101586709;-1.89428194381283E-02;0.409051688919295
0.304186134431061;-1.91076679298398E-02;0.412190899043897
0.306273277486089;-1.92725148560356E-02;0.415330035976935
0.308360530747231;-0.019437360216726;0.418469099715818
0.310447894210015;-1.96022040119216E-02;0.421608090257927
0.312535367870037;-1.97670462416329E-02;0.424747007600687
0.31462295172278;-1.99318869058702E-02;0.427885851741477
0.316710645763795;-2.00967260046442E-02;0.431024622677694
0.318798449988565;-2.02615635379652E-02;0.434163320406777
0.320886364392662;-2.04263995058438E-02;0.437301944926061
0.322974388971594;-2.05912339082905E-02;0.440440496232986
0.325062523720844;-2.07560667453158E-02;0.443578974324962
0.327150768636006;-2.09208980169301E-02;0.446717379199385
0.329239123712608;-2.10857277231439E-02;0.449855710853619
0.331327588946114;-2.12505558639678E-02;0.452993969285089
0.333416164332094;-2.14153824394122E-02;0.456132154491221
0.3355048498661;-2.15802074494877E-02;0.459270266469393
0.337593645543615;-2.17450308942048E-02;0.462408305217017
0.339682551360146;-2.19098527735739E-02;0.465546270731473
0.341771567311287;-2.20746730876056E-02;0.468684163010199
0.343860693392522;-2.22394918363104E-02;0.471821982050562
0.34594992959938;-2.24043090196988E-02;0.474959727849986
0.34803927592741;-2.25691246377814E-02;0.478097400405881
0.350128732372098;-2.27339386905686E-02;0.481234999715627
0.352218298929016;-0.022898751178071;0.484372525776664
0.354307975593647;-2.30635621002992E-02;0.487509978586371
0.356397762361564;-2.32283714572635E-02;0.49064735814216
0.358487659228274;-2.33931792489747E-02;0.493784664441424
0.360577666189305;-2.35579854754431E-02;0.496921897481574
0.362673637583943;-2.37255178282868E-02;0.50005530212936
0.364823635114346;-2.39692814470854E-02;0.503145939568116
0.367038318209568;-2.43178527183991E-02;0.506180689822635
0.369316433121971;-2.47653979792744E-02;0.50915491320171
0.371656803899183;-0.025305861630148;0.512064683484336
0.37405818768208;-2.59330186577589E-02;0.514906574162611
0.376519280503772;-2.66405383167816E-02;0.517677656770029
0.379038723626054;-2.74220442672169E-02;0.520375491713101
0.38161511021266;-2.82711701364181E-02;0.522998112591697
0.384246992162623;-2.91816097472614E-02;0.525544005062737
0.386932886946873;-3.01471615131821E-02;0.528012081314897
0.389670827211404;-3.11615953916847E-02;0.530401262927029
