CLARK_YS
 1.00000     0.00000
 0.99506     0.00018
 0.98712     0.00052
 0.97847     0.00097
 0.96903     0.00155
 0.95874     0.00229
 0.94763     0.00321
 0.93583     0.00431
 0.92358     0.00556
 0.91112     0.00685
 0.89866     0.00813
 0.88628     0.00935
 0.87400     0.01052
 0.86186     0.01169
 0.84987     0.01288
 0.83801     0.01413
 0.82628     0.01546
 0.81465     0.01692
 0.80310     0.01854
 0.79158     0.02033
 0.78007     0.02231
 0.76850     0.02444
 0.75686     0.02672
 0.74511     0.02910
 0.73323     0.03157
 0.72120     0.03410
 0.70904     0.03664
 0.69674     0.03916
 0.68434     0.04163
 0.67185     0.04404
 0.65933     0.04638
 0.64677     0.04865
 0.63421     0.05085
 0.62165     0.05298
 0.60910     0.05504
 0.59656     0.05704
 0.58402     0.05898
 0.57147     0.06085
 0.55893     0.06265
 0.54637     0.06439
 0.53381     0.06606
 0.52124     0.06766
 0.50869     0.06919
 0.49615     0.07064
 0.48363     0.07201
 0.47115     0.07330
 0.45871     0.07451
 0.44630     0.07563
 0.43392     0.07666
 0.42155     0.07760
 0.40918     0.07844
 0.39679     0.07918
 0.38435     0.07983
 0.37183     0.08039
 0.35924     0.08086
 0.34656     0.08124
 0.33382     0.08155
 0.32105     0.08178
 0.30829     0.08193
 0.29560     0.08202
 0.28304     0.08204
 0.27065     0.08197
 0.25847     0.08179
 0.24649     0.08148
 0.23469     0.08102
 0.22305     0.08040
 0.21154     0.07960
 0.20009     0.07861
 0.18866     0.07740
 0.17720     0.07597
 0.16569     0.07434
 0.15416     0.07251
 0.14268     0.07050
 0.13134     0.06831
 0.12021     0.06595
 0.10933     0.06340
 0.09874     0.06066
 0.08843     0.05772
 0.07844     0.05463
 0.06887     0.05141
 0.05986     0.04809
 0.05167     0.04473
 0.04450     0.04145
 0.03833     0.03830
 0.03298     0.03526
 0.02825     0.03227
 0.02401     0.02927
 0.02012     0.02622
 0.01658     0.02320
 0.01346     0.02039
 0.01080     0.01791
 0.00858     0.01574
 0.00674     0.01381
 0.00521     0.01206
 0.00393     0.01044
 0.00287     0.00893
 0.00199     0.00749
 0.00129     0.00612
 0.00074     0.00478
 0.00034     0.00349
 0.00009     0.00221
-0.00002     0.00096
 0.00002    -0.00030
 0.00022    -0.00155
 0.00057    -0.00282
 0.00107    -0.00409
 0.00171    -0.00539
 0.00251    -0.00670
 0.00348    -0.00804
 0.00462    -0.00940
 0.00596    -0.01079
 0.00752    -0.01221
 0.00935    -0.01365
 0.01148    -0.01509
 0.01396    -0.01649
 0.01686    -0.01778
 0.02025    -0.01897
 0.02426    -0.02011
 0.02900    -0.02132
 0.03457    -0.02265
 0.04099    -0.02404
 0.04819    -0.02540
 0.05614    -0.02662
 0.06507    -0.02771
 0.07523    -0.02872
 0.08649    -0.02973
 0.09826    -0.03067
 0.11019    -0.03151
 0.12225    -0.03223
 0.13445    -0.03285
 0.14679    -0.03338
 0.15926    -0.03382
 0.17182    -0.03417
 0.18447    -0.03445
 0.19717    -0.03466
 0.20994    -0.03482
 0.22275    -0.03493
 0.23562    -0.03500
 0.24853    -0.03503
 0.26150    -0.03504
 0.27450    -0.03503
 0.28754    -0.03502
 0.30061    -0.03500
 0.31370    -0.03499
 0.32681    -0.03498
 0.33992    -0.03498
 0.35304    -0.03498
 0.36617    -0.03499
 0.37929    -0.03499
 0.39241    -0.03500
 0.40553    -0.03500
 0.41865    -0.03500
 0.43178    -0.03500
 0.44491    -0.03500
 0.45804    -0.03500
 0.47117    -0.03500
 0.48431    -0.03500
 0.49743    -0.03500
 0.51055    -0.03500
 0.52365    -0.03501
 0.53674    -0.03501
 0.54981    -0.03502
 0.56286    -0.03502
 0.57591    -0.03502
 0.58897    -0.03501
 0.60204    -0.03500
 0.61515    -0.03498
 0.62826    -0.03496
 0.64134    -0.03494
 0.65441    -0.03493
 0.66747    -0.03492
 0.68058    -0.03494
 0.69365    -0.03497
 0.70657    -0.03503
 0.71928    -0.03509
 0.73175    -0.03512
 0.74396    -0.03508
 0.75593    -0.03493
 0.76768    -0.03466
 0.77926    -0.03424
 0.79070    -0.03364
 0.80206    -0.03284
 0.81341    -0.03181
 0.82482    -0.03057
 0.83633    -0.02913
 0.84799    -0.02751
 0.85985    -0.02572
 0.87192    -0.02379
 0.88423    -0.02172
 0.89678    -0.01956
 0.90952    -0.01733
 0.92236    -0.01506
 0.93506    -0.01277
 0.94729    -0.01051
 0.95873    -0.00834
 0.96920    -0.00630
 0.97871    -0.00440
 0.98732    -0.00265
 0.99515    -0.00102
 1.00000     0.00000
